,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
572,156.6042587,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,1,4.331082838,1.28482325,66.39235057,4.754736326,92.06588773,2.200901725,16.31882,48.22174
573,115.933899,Private room,FALSE,TRUE,4,FALSE,0,1,9,93,1,3.317181424,0.462477379,86.99211321,6.230003264,115.9290631,2.771368215,16.36993,48.17879
574,185.5877334,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,98,0,1.896959165,0.198475286,185.4174469,13.2788049,255.2227327,6.10128427,16.35307,48.19844
575,168.2911437,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,93,1,2.466438104,0.402804932,120.4983722,8.629578295,191.1658839,4.569958906,16.34095,48.20476
576,278.1478625,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,91,3,2.265569868,0.796492836,90.64450064,6.491571639,139.7760387,3.341447438,16.37488,48.22889
577,160.1103242,Private room,FALSE,TRUE,2,FALSE,0,1,10,100,1,2.300958064,0.129206673,140.6001149,10.06917918,225.6196232,5.393600497,16.347,48.198
578,390.575696,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,83,1,3.15678426,0.633505608,86.82894248,6.218317674,127.9739624,3.059310257,16.33333,48.21746
579,168.2911437,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,89,1,1.6298031,0.372798907,115.2194043,8.25152118,181.0660387,4.328514791,16.38448,48.22128
580,197.0408807,Private room,FALSE,TRUE,2,FALSE,0,1,10,100,1,1.915677728,0.646519225,102.1040956,7.312258842,159.3572768,3.809551117,16.3826,48.22469
581,100.7409485,Private room,FALSE,TRUE,2,TRUE,0,0,10,100,1,3.757648669,0.263183184,100.6748007,7.20989885,119.8514531,2.865135788,16.32649,48.19635
582,204.2867494,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,87,1,2.213478091,0.819442453,93.69105161,6.709752595,140.5177219,3.359177912,16.38904,48.22558
583,185.5877334,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,98,1,2.457046379,0.601822241,99.63844866,7.135679747,137.5844757,3.289056537,16.39643,48.1925
584,298.2493046,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,8,90,1,5.211730779,2.605631439,52.77046843,3.77919536,73.69551358,1.761744626,16.31612,48.23535
585,208.494028,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,97,2,4.361599112,1.184545832,66.48834663,4.761611154,91.73677932,2.19303415,16.318,48.221
586,456.9572026,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,87,2,3.558560123,1.021937341,77.01797457,5.515698093,110.6222355,2.644504657,16.32948,48.22089
587,240.9835682,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,96,1,2.701887086,0.599066817,106.4444763,7.623098354,146.1402359,3.493588181,16.36633,48.18472
588,179.744291,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,1.097635569,0.250756269,146.3332091,10.47975887,250.8658428,5.99712966,16.38275,48.21631
589,170.6285207,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,1,0.950069839,0.247047606,159.028912,11.38897084,297.7285854,7.117417463,16.38364,48.21387
590,139.3076689,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,2.430534957,0.331960688,129.2766809,9.258243236,206.9560937,4.947435307,16.34841,48.19463
591,128.5557348,Private room,FALSE,TRUE,3,FALSE,1,0,9,77,1,2.926485184,0.336983401,105.9742505,7.589422788,156.1935415,3.733919732,16.33475,48.20446
592,151.9295047,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,1,4.239112667,1.388530506,67.12741256,4.807378324,93.60848404,2.237778607,16.32042,48.22224
593,233.5039619,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,96,1,1.246094176,0.311798672,169.6801848,12.15176947,256.5239768,6.132391453,16.36396,48.21767
594,211.2988804,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,99,1,3.879299778,0.818299276,87.29280595,6.251537593,107.0682445,2.559543928,16.34328,48.18015
595,131.1268494,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,100,1,3.831641464,0.283957072,74.87429136,5.362176666,98.82985721,2.362599314,16.37424,48.17406
